,0,1,Prediction
0,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (10) - Copy.jpg,angry,angry
1,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (10).jpg,angry,angry
2,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (11) - Copy.jpg,angry,angry
3,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (12) - Copy.jpg,angry,angry
4,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (13) - Copy.jpg,angry,angry
5,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (14) - Copy.jpg,angry,angry
6,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (15) - Copy.jpg,angry,angry
7,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (16) - Copy.jpg,angry,angry
8,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (17) - Copy.jpg,angry,angry
9,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (18) - Copy.jpg,angry,angry
10,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (19) - Copy.jpg,angry,angry
11,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (2) - Copy.jpg,angry,angry
12,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (2).jpg,angry,angry
13,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (20) - Copy.jpg,angry,angry
14,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (21) - Copy.jpg,angry,angry
15,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (22) - Copy.jpg,angry,angry
16,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (23) - Copy.jpg,angry,angry
17,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (24) - Copy.jpg,angry,angry
18,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (25) - Copy.jpg,angry,angry
19,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (26) - Copy.jpg,angry,angry
20,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (27) - Copy.jpg,angry,angry
21,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (28) - Copy.jpg,angry,angry
22,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (29) - Copy.jpg,angry,angry
23,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (3) - Copy.jpg,angry,angry
24,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (3).jpg,angry,angry
25,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (30) - Copy.jpg,angry,angry
26,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (31) - Copy.jpg,angry,angry
27,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (32) - Copy.jpg,angry,angry
28,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (33) - Copy.jpg,angry,angry
29,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (34) - Copy.jpg,angry,angry
30,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (35) - Copy.jpg,angry,angry
31,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (36) - Copy.jpg,angry,angry
32,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (37) - Copy.jpg,angry,angry
33,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (38) - Copy.jpg,angry,angry
34,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (39) - Copy.jpg,angry,angry
35,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (4) - Copy.jpg,angry,angry
36,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (4).jpg,angry,angry
37,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (40) - Copy.jpg,angry,angry
38,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (41) - Copy.jpg,angry,angry
39,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (42) - Copy.jpg,angry,angry
40,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (43) - Copy.jpg,angry,angry
41,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (44) - Copy.jpg,angry,angry
42,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (45) - Copy.jpg,angry,angry
43,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (46) - Copy.jpg,angry,angry
44,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (47) - Copy.jpg,angry,angry
45,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (48) - Copy.jpg,angry,angry
46,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (49) - Copy.jpg,angry,angry
47,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (5) - Copy.jpg,angry,angry
48,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (5).jpg,angry,angry
49,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (50) - Copy.jpg,angry,angry
50,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (51) - Copy.jpg,angry,angry
51,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (52) - Copy.jpg,angry,angry
52,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (53) - Copy.jpg,angry,angry
53,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (54) - Copy.jpg,angry,angry
54,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (55) - Copy.jpg,angry,angry
55,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (56) - Copy.jpg,angry,angry
56,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (57) - Copy.jpg,angry,angry
57,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (58) - Copy.jpg,angry,angry
58,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (59) - Copy.jpg,angry,angry
59,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (6) - Copy.jpg,angry,angry
60,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (6).jpg,angry,angry
61,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (60) - Copy.jpg,angry,angry
62,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (61) - Copy.jpg,angry,angry
63,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (62) - Copy.jpg,angry,angry
64,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (63) - Copy.jpg,angry,angry
65,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (64) - Copy.jpg,angry,angry
66,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (65) - Copy.jpg,angry,angry
67,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (66) - Copy.jpg,angry,angry
68,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (67) - Copy.jpg,angry,angry
69,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (68) - Copy.jpg,angry,angry
70,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (69) - Copy.jpg,angry,angry
71,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (7) - Copy.jpg,angry,angry
72,C:\Users\sures\Desktop\Python\face-emotion-recognition\images/validation/angry/10052 - Copy (7).jpg,angry,angry
